STATIONNAM,LEG,DIRECTION,DIST_NB,DIST_SB,DIST_EB,DIST_WB,ROUTE,STATUS,longitude,latitude,location
Chinook,SW,North/South,2299,2200,0,0,201,Current,-114.06580853211398,50.996807857737046,"(50.996807857737046, -114.06580853211398)"
Zoo,NE,East/West,0,0,1379,1100,202,Current,-114.02485607969437,51.04736922517619,"(51.04736922517619, -114.02485607969437)"
6 St SW,DTEastbnd,East,0,0,414,410,201/202,Current,-114.07508481556182,51.04677318388097,"(51.04677318388097, -114.07508481556182)"
Sunalta,West,West/East,,,,,202,Current,-114.09913462976633,51.04481812949617,"(51.04481812949617, -114.09913462976633)"
Victoria Park / Stampede,SW,North/South,1027,725,0,0,201,Current,-114.05830814657534,51.03858013717659,"(51.03858013717659, -114.05830814657534)"
Saddletowne,NE,North/South,,,,,202,Current,-113.94815352696301,51.12571472192382,"(51.12571472192382, -113.94815352696301)"
Dalhousie,NW,North/South,3966,2732,0,0,201,Current,-114.16052538044535,51.10328380288327,"(51.10328380288327, -114.16052538044535)"
3 St SW,DTEastbnd,East,0,0,544,414,201/202,Current,-114.06926247027441,51.046612988052004,"(51.046612988052004, -114.06926247027441)"
Marlborough,NE,North/South,1845,1722,0,0,202,Current,-113.98171628708154,51.05842602961393,"(51.05842602961393, -113.98171628708154)"
SAIT/ACAD/Jubilee,NW,North/South,923,1026,0,0,201,Current,-114.0913130200881,51.06313351902383,"(51.06313351902383, -114.0913130200881)"
Crowfoot,NW,North/South,0,3966,0,0,201,Current,-114.20655223179453,51.12242644130232,"(51.12242644130232, -114.20655223179453)"
7 St SW,DTWestbnd,West,1376,0,265,334,201/202,Current,-114.0774250862143,51.04698786728556,"(51.04698786728556, -114.0774250862143)"
Rundle,NE,North/South,1276,1845,0,0,202,Current,-113.98172512162708,51.07586028813515,"(51.07586028813515, -113.98172512162708)"
Somerset-Bridlewood,SW,North/South,1239,0,0,0,201,Current,-114.06900094994674,50.89908810767993,"(50.89908810767993, -114.06900094994674)"
Tuscany,NW,North/South,,,,,201,Current,-114.23555985757973,51.13447053235643,"(51.13447053235643, -114.23555985757973)"
Canyon Meadows,SW,North/South,2041,1505,0,0,201,Current,-114.06979214972121,50.93591535755949,"(50.93591535755949, -114.06979214972121)"
Whitehorn,NE,North/South,2640,1276,0,0,202,Current,-113.98174266231439,51.085955735215116,"(51.085955735215116, -113.98174266231439)"
Shaganappi Point,West,West/East,,,,,202,Current,-114.12500719441424,51.04168349701066,"(51.04168349701066, -114.12500719441424)"
Centre St,DTEastbnd,East,0,0,319,544,201/202,Current,-114.06166819750008,51.04637077825147,"(51.04637077825147, -114.06166819750008)"
Shawnessy,SW,North/South,1464,1239,0,0,201,Current,-114.07056576297717,50.91057297554394,"(50.91057297554394, -114.07056576297717)"
1 St SW,DTWestbnd,West,0,0,467,439,201/202,Current,-114.06409244380104,51.046584234228845,"(51.046584234228845, -114.06409244380104)"
Lions Park,NW,North/South,1220,923,0,0,201,Current,-114.10359107888131,51.06504084686011,"(51.06504084686011, -114.10359107888131)"
8 St SW,DTEastbnd,East,1199,0,205,287,201/202,Current,-114.07995618958944,51.046919720107205,"(51.046919720107205, -114.07995618958944)"
Martindale,NE,North/South,,,,,202,Current,-113.96790238900381,51.11770533890071,"(51.11770533890071, -113.96790238900381)"
Anderson,SW,North/South,1064,2041,0,0,201,Current,-114.07451878197968,50.95431654642343,"(50.95431654642343, -114.07451878197968)"
Fish Creek - Lacombe,SW,North/South,1505,1464,0,0,201,Current,-114.07305641404044,50.923161542922514,"(50.923161542922514, -114.07305641404044)"
4 St SW,DTWestbnd,West,0,0,439,1,201/202,Current,-114.07266762196352,51.04683663476806,"(51.04683663476806, -114.07266762196352)"
City Hall WB,DTWestbnd,West,,,200,,201/202,Current,-114.05700283229031,51.04637889649759,"(51.04637889649759, -114.05700283229031)"
Downtown West - Kerby Station,DTEastbnd,East,0,0,,,202,Current,-114.08724370638349,51.04712631203708,"(51.04712631203708, -114.08724370638349)"
Franklin,NE,East/West,0,0,1723,934,202,Current,-113.99389622050779,51.04753317237232,"(51.04753317237232, -113.99389622050779)"
45 St SW,West,West/East,,,,,202,Current,-114.15419470288599,51.03796046833452,"(51.03796046833452, -114.15419470288599)"
City Hall EB,DTEastbnd,East,1392,1027,0,319,201/202,Current,-114.05699923973778,51.0462137487903,"(51.0462137487903, -114.05699923973778)"
39 Avenue,SW,North/South,1669,2299,0,0,201,Current,-114.06138310231773,51.017567029687726,"(51.017567029687726, -114.06138310231773)"
University,NW,North/South,1013,1130,0,0,201,Current,-114.12290918356616,51.08000226784484,"(51.08000226784484, -114.12290918356616)"
Sirocco,West,West/East,,,,,202,Current,-114.16904423715047,51.03837970398405,"(51.03837970398405, -114.16904423715047)"
Sunnyside,NW,North/South,1026,1147,0,0,201,Current,-114.08439246737201,51.05626036973093,"(51.05626036973093, -114.08439246737201)"
Downtown West - Kerby Station,DTWestbnd,West,0,0,,,202,Current,-114.08724862368886,51.04723334280586,"(51.04723334280586, -114.08724862368886)"
Erlton / Stampede,SW,North/South,725,1669,0,0,201,Current,-114.05890028902643,51.032060142857866,"(51.032060142857866, -114.05890028902643)"
69 St SW,West,West/East,,,,,202,Current,-114.18760937033547,51.037645115945246,"(51.037645115945246, -114.18760937033547)"
Barlow / Max Bell,NE,East/West,0,0,934,1379,202,Current,-114.00661321060373,51.04549575173873,"(51.04549575173873, -114.00661321060373)"
Southland,SW,North/South,1654,1064,0,0,201,Current,-114.07656048584987,50.963571031655796,"(50.963571031655796, -114.07656048584987)"
Westbrook,West,West/East,,,,,202,Current,-114.13636185466696,51.040197136375255,"(51.040197136375255, -114.13636185466696)"
McKnight Westwinds,NE,North/South,0,2640,0,0,202,Current,-113.97565289724812,51.10922401574954,"(51.10922401574954, -113.97565289724812)"
Brentwood,NW,North/South,2372,1013,0,0,201,Current,-114.13180336169056,51.087047352883225,"(51.087047352883225, -114.13180336169056)"
Bridgeland / Memorial,NE,East/West,0,0,1100,1236,202,Current,-114.04037758242885,51.04904970186535,"(51.04904970186535, -114.04037758242885)"
Heritage,SW,North/South,2200,1654,0,0,201,Current,-114.07427150387718,50.97798714179343,"(50.97798714179343, -114.07427150387718)"
Banff Trail,NW,North/South,1130,1220,0,0,201,Current,-114.11555633412519,51.07095409401515,"(51.07095409401515, -114.11555633412519)"
